source_id,source_type,title,locator,accessed_at,authority,status,notes
S-001,repository,Current public result and converter contract,result.go;converter.go;engine.go,2026-08-22,primary,verified,"Public API and dispatch behavior on mission base"
S-002,repository,Current source acquisition and remote policy,source.go;options.go;source_test.go,2026-08-22,primary,verified,"Source buffering HTTP opt-in and current remote byte cap"
S-003,repository,Generic ZIP converter limits and degradation behavior,converters/zip/zip.go;converters/zip/zip_test.go,2026-08-22,primary,verified,"Existing limits and skipped-member behavior"
S-004,repository,ZIP-backed format readers,internal/ooxml/package.go;converters/epub/epub.go;converters/xlsx/xlsx.go,2026-08-22,primary,verified,"Independent container readers lacking the generic ZIP policy"
S-005,repository,PDF embedded-image extraction,converters/pdf/pdf.go;converters/pdf/pdf_test.go,2026-08-22,primary,verified,"Existing derivative bytes currently rendered as optional data URIs"
S-006,repository,Optional component authority,INKBITE_COMPONENTS_SPEC.md;internal/components/types.go,2026-08-22,primary,verified,"No surprise downloads and component manifest provenance pattern"
S-007,repository,Current failure categories and attempt aggregation,errors.go;engine.go,2026-08-22,primary,verified,"Typed errors exist but successful fallback loses attempt visibility"
S-008,repository,CLI cancellation wrapper,cmd/inkbite/main.go,2026-08-22,primary,verified,"Deadline can return before a non-cooperative conversion goroutine stops"
S-009,repository,Inkbite MIT license and adoption baseline,LICENSE;.kittify/charter/charter.md,2026-08-22,primary,verified,"Project-owned licensing and civic adoption policy"
S-010,official,"Go public API and module compatibility guidance","https://go.dev/blog/module-compatibility; https://go.dev/doc/go1compat; https://go.dev/doc/modules/release-workflow",2026-08-22,primary,verified,"Interfaces unkeyed struct literals comparability and v1 compatibility"
S-011,standard,"SHA-256 and HTTP content digest standards","https://csrc.nist.gov/pubs/fips/180-4/upd1/final; https://csrc.nist.gov/pubs/sp/800/107/r1/final; https://www.rfc-editor.org/rfc/rfc9530.html",2026-08-22,primary,verified,"Digest size strength byte-boundary semantics and non-authority caveat"
S-012,official,"Go HTTP client transport and redirect contracts","https://pkg.go.dev/net/http#Client; https://pkg.go.dev/net/http#Transport; https://pkg.go.dev/net/http#NewRequestWithContext",2026-08-22,primary,verified,"Redirect callback connection hook proxy compression timeout and context behavior"
S-013,official,"Go network address classification","https://pkg.go.dev/net/netip",2026-08-22,primary,verified,"IsPrivate and IsGlobalUnicast are not sufficient authorization predicates"
S-014,standard,"IANA IPv4 special-purpose address registry","https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml",2026-08-22,primary,verified,"Authoritative IPv4 special address classes"
S-015,standard,"IANA IPv6 special-purpose registry and HTTP redirect safety","https://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry.xhtml; https://www.rfc-editor.org/rfc/rfc9110.html",2026-08-22,primary,verified,"Authoritative IPv6 classes userinfo rejection and redirect field hygiene"
S-016,standard,"SPDX and OSI MIT license records","https://spdx.org/licenses/MIT.html; https://opensource.org/license/mit",2026-08-22,primary,verified,"Canonical SPDX identifier license text and notice obligation"
S-017,standard,"SPDX license and package provenance guidance","https://spdx.dev/learn/handling-license-info/; https://spdx.github.io/spdx-spec/v2.2.2/package-information/",2026-08-22,primary,verified,"Identifiers supplement notices and adopted packages need exact provenance fields"
S-018,official,"Archive expansion and Go ZIP trust boundaries","https://cwe.mitre.org/data/definitions/409.html; https://pkg.go.dev/archive/zip; https://go.dev/blog/osroot; https://pkg.go.dev/io#LimitReader",2026-08-22,primary,verified,"Expansion exhaustion actual-byte accounting path safety checksum completion and overflow detection"
S-019,official,"Go context cancellation contract","https://pkg.go.dev/context; https://pkg.go.dev/context#CancelFunc",2026-08-22,primary,verified,"Cancellation is advisory and does not wait for work to stop"
